DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
3713,Salmon very light,#FFC7C7,255,199,199,0,22,22,0
3716,Dusty Rose very light,#FE97AF,254,151,175,0,40.6,31.1,0.4
3721,Shell Pink dark,#85303A,133,48,58,0,63.9,56.4,47.8
3722,Shell Pink medium,#99444D,153,68,77,0,55.6,49.7,40
3726,Antique Mauve dark,#804653,128,70,83,0,45.3,35.2,49.8
3727,Antique Mauve light,#C9899C,201,137,156,0,31.8,22.4,21.2
3731,Dusty Rose very dark,#C1405F,193,64,95,0,66.8,50.8,24.3
3733,Dusty Rose,#E06C85,224,108,133,0,51.8,40.6,12.2
3740,Antique Violet dark,#5C3E4D,92,62,77,0,32.6,16.3,63.9
3743,Antique Violet very light,#BBA9B8,187,169,184,0,9.6,1.6,26.7
3746,Blue Violet dark,#604F9F,96,79,159,39.6,50.3,0,37.6
3747,Blue Violet very light,#ADBADF,173,186,223,22.4,16.6,0,12.5
3750,Antique Blue very dark,#23384F,35,56,79,55.7,29.1,0,69
3752,Antique Blue very light,#9DB1BD,157,177,189,16.9,6.3,0,25.9
3753,Antique Blue ultra very light,#B1C6D7,177,198,215,17.7,7.9,0,15.7
3755,Baby Blue,#6998C4,105,152,196,46.4,22.4,0,23.1
3756,Baby Blue ultra very light,#DDEDF3,221,237,243,9.1,2.5,0,4.7
3760,Wedgewood (806),#2C6F99,44,111,153,71.2,27.5,0,40
3761,Sky Blue light,#8EC4D8,142,196,216,34.3,9.3,0,15.3
3765,Very Dark Peacock Blue,#005879,0,88,121,100,27.3,0,52.5
3766,Peacock Blue light,#58A2B9,88,162,185,52.4,12.4,0,27.5
3768,Grey Green dark,#425B61,66,91,97,32,6.2,0,62
3770,Tawny very light,#FFE6C9,255,230,201,0,9.8,21.2,0
3771,Terra Cotta ultra very light,#DF9B7B,223,155,123,0,30.5,44.8,12.5
3772,Desert Sand very dark,#935A4B,147,90,75,0,38.8,49,42.4
3774,Desert Sand very light,#E9BEA6,233,190,166,0,18.5,28.8,8.6
3776,Mahogany light,#BD5F36,189,95,54,0,49.7,71.4,25.9
3777,Terra Cotta very dark,#822529,130,37,41,0,71.5,68.5,49
3778,Terra Cotta light,#C1695A,193,105,90,0,45.6,53.4,24.3
3779,Terra Cotta ultra very light,#E8A492,232,164,146,0,29.3,37.1,9
3781,Mocha Brown dark,#503D2E,80,61,46,0,23.7,42.5,68.6
3782,Mocha Brown light,#AC9278,172,146,120,0,15.1,30.2,32.5
3787,Brown Grey dark,#50473D,80,71,61,0,11.2,23.7,68.6
3790,Beige Grey ultra dark,#614D3D,97,77,61,0,20.6,37.1,62
3799,Pewter Grey very dark,#303438,48,52,56,14.3,7.1,0,78
3801,Christmas Red light,#E02338,224,35,56,0,84.4,75,12.2
3802,Antique Mauve very dark,#602C36,96,44,54,0,54.2,43.7,62.4
